processo_numero;processo_ocorrencia 
8052208018;Não há Ocorrência para essa Solicitação
8052207716;Não há Ocorrência para essa Solicitação
8052206920;Não há Ocorrência para essa Solicitação
8052206718;Muro com Danos
8052206519;Muro com Danos
8052204620;Não há Ocorrência para essa Solicitação
8052202118;Invasao de Terreno de Auxilio Moradia
8052199919;Não há Ocorrência para essa Solicitação
8052199220;Não há Ocorrência para essa Solicitação
8052196118;Muro com Danos
8052196118;Deslizamentos de Barreiras
8052195720;Não há Ocorrência para essa Solicitação
8052194719;Não há Ocorrência para essa Solicitação
8052193420;Arvores em Risco
8052190520;Não há Ocorrência para essa Solicitação
8052185018;Não há Ocorrência para essa Solicitação
8052184520;Não há Ocorrência para essa Solicitação
8052181816;Deslizamentos de Barreiras
8052177718;Deslizamentos de Barreiras
8052176919;Não há Ocorrência para essa Solicitação
8052176919;Deslizamentos de Barreiras
8052173320;Não há Ocorrência para essa Solicitação
8052172717;Deslizamentos de Barreiras
8052172717;Arvores em Risco
8052170420;Não há Ocorrência para essa Solicitação
8052164420;Não há Ocorrência para essa Solicitação
8052163016;Não há Ocorrência para essa Solicitação
8052162120;Não há Ocorrência para essa Solicitação
8052161716;Não há Ocorrência para essa Solicitação
8052161318;Arvores em Risco
8052161318;Deslizamentos de Barreiras
8052154718;Não há Ocorrência para essa Solicitação
8052153919;Imoveis com Danos/Risco
8052152620;Não há Ocorrência para essa Solicitação
8052147018;Não há Ocorrência para essa Solicitação
8052144317;Não há Ocorrência para essa Solicitação
8052141616;Não há Ocorrência para essa Solicitação
8052140419;Deslizamentos de Barreiras
8052140419;Não há Ocorrência para essa Solicitação
8052139116;Não há Ocorrência para essa Solicitação
8052136216;Não há Ocorrência para essa Solicitação
8052134016;Não há Ocorrência para essa Solicitação
8052129616;Não há Ocorrência para essa Solicitação
8052129218;Não há Ocorrência para essa Solicitação
8052125718;Deslizamentos de Barreiras
8052125016;Imoveis com Danos/Risco
8052123816;Não há Ocorrência para essa Solicitação
8052114717;Não há Ocorrência para essa Solicitação
8052111618;Não há Ocorrência para essa Solicitação
8052110117;Não há Ocorrência para essa Solicitação
8052109118;Desabamento Parcial de Obras de Contencao/Drenagem
8052105618;Deslizamentos de Barreiras
8052101018;Deslizamentos de Barreiras
8052092118;Deslizamentos de Barreiras
8052090017;Deslizamentos de Barreiras
8052089220;Não há Ocorrência para essa Solicitação
8052082618;Imoveis com Danos/Risco
8052082618;Deslizamentos de Barreiras
8052078918;Deslizamentos de Barreiras
8052072220;Não há Ocorrência para essa Solicitação
8052068517;Imoveis com Danos/Risco
8052062518;Não há Ocorrência para essa Solicitação
8052058020;Não há Ocorrência para essa Solicitação
8052051318;Não há Ocorrência para essa Solicitação
8052048218;Não há Ocorrência para essa Solicitação
8052047820;Não há Ocorrência para essa Solicitação
8052047016;Não há Ocorrência para essa Solicitação
8052044917;Deslizamentos de Barreiras
8052044917;Imoveis com Danos/Risco
8052042816;Arvores em Risco
8052041017;Deslizamentos de Barreiras
8052039318;Não há Ocorrência para essa Solicitação
8052038920;Não há Ocorrência para essa Solicitação
8052038917;Não há Ocorrência para essa Solicitação
8052035818;Deslizamentos de Barreiras
8052034317;Deslizamentos de Barreiras
8052032918;Deslizamentos de Barreiras
8052032918;Não há Ocorrência para essa Solicitação
8052032017;Não há Ocorrência para essa Solicitação
8052031616;Não há Ocorrência para essa Solicitação
8052031616;Imoveis com Danos/Risco
8052030817;Não há Ocorrência para essa Solicitação
8052030618;Deslizamentos de Barreiras
8052029020;Não há Ocorrência para essa Solicitação
8052029020;Imoveis com Danos/Risco
8052028317;Não há Ocorrência para essa Solicitação
8052026918;Imoveis com Danos/Risco
8052026918;Deslizamentos de Barreiras
8052026020;Não há Ocorrência para essa Solicitação
8052026017;Não há Ocorrência para essa Solicitação
8052024817;Invasao de Terreno de Auxilio Moradia
8052024419;Não há Ocorrência para essa Solicitação
8052021920;Não há Ocorrência para essa Solicitação
8052019218;Arvores em Risco
8052019218;Deslizamentos de Barreiras
8052018817;Não há Ocorrência para essa Solicitação
8052016318;Não há Ocorrência para essa Solicitação
8052015920;Não há Ocorrência para essa Solicitação
8052013418;Muro com Danos
8052013418;Imoveis com Danos/Risco
8052006818;Arvores em Risco
8052005320;Não há Ocorrência para essa Solicitação
8052000120;Não há Ocorrência para essa Solicitação
8051991616;Muro com Danos
8051991417;Não há Ocorrência para essa Solicitação
8051990419;Não há Ocorrência para essa Solicitação
8051989020;Não há Ocorrência para essa Solicitação
8051987518;Não há Ocorrência para essa Solicitação
8051986020;Não há Ocorrência para essa Solicitação
8051984820;Não há Ocorrência para essa Solicitação
8051983018;Deslizamentos de Barreiras
8051982520;Não há Ocorrência para essa Solicitação
8051981718;Deslizamentos de Barreiras
8051981718;Muro com Danos
8051980220;Não há Ocorrência para essa Solicitação
8051979417;Imoveis com Danos/Risco
8051979417;Invasao de Terreno de Auxilio Moradia
8051978820;Não há Ocorrência para essa Solicitação
8051978618;Deslizamentos de Barreiras
8051978618;Arvores em Risco
8051973219;Imoveis com Danos/Risco
8051973219;Incendios
8051972818;Não há Ocorrência para essa Solicitação
8051964518;Não há Ocorrência para essa Solicitação
8051959118;Muro com Danos
8051959019;Não há Ocorrência para essa Solicitação
8051957918;Imoveis com Danos/Risco
8051957918;Deslizamentos de Barreiras
8051956417;Imoveis com Danos/Risco
8051956019;Não há Ocorrência para essa Solicitação
8051952519;Imoveis com Danos/Risco
8051950816;Invasao de Terreno de Auxilio Moradia
8051947517;Não há Ocorrência para essa Solicitação
8051925819;Não há Ocorrência para essa Solicitação
8051923718;Deslizamentos de Barreiras
8051923718;Não há Ocorrência para essa Solicitação
8051919018;Deslizamentos de Barreiras
8051914619;Não há Ocorrência para essa Solicitação
8051911918;Deslizamentos de Barreiras
8051911918;Imoveis com Danos/Risco
8051910417;Não há Ocorrência para essa Solicitação
8051903618;Deslizamentos de Barreiras
8051897817;Não há Ocorrência para essa Solicitação
8051889318;Não há Ocorrência para essa Solicitação
8051887018;Deslizamentos de Barreiras
8051882918;Deslizamentos de Barreiras
8051882918;Não há Ocorrência para essa Solicitação
8051880618;Deslizamentos de Barreiras
8051878317;Não há Ocorrência para essa Solicitação
8051878118;Não há Ocorrência para essa Solicitação
8051873018;Não há Ocorrência para essa Solicitação
8051871718;Arvores em Risco
8051869218;Não há Ocorrência para essa Solicitação
8051864018;Muro com Danos
8051864018;Deslizamentos de Barreiras
8051862818;Não há Ocorrência para essa Solicitação
8051857418;Não há Ocorrência para essa Solicitação
8051854518;Deslizamentos de Barreiras
8051854518;Não há Ocorrência para essa Solicitação
8051851618;Não há Ocorrência para essa Solicitação
8051847918;Deslizamentos de Barreiras
8051847918;Não há Ocorrência para essa Solicitação
8051847020;Não há Ocorrência para essa Solicitação
8051843318;Não há Ocorrência para essa Solicitação
8051840418;Deslizamentos de Barreiras
8051838018;Muro com Danos
8051838018;Imoveis com Danos/Risco
8051838018;Deslizamentos de Barreiras
8051836718;Não há Ocorrência para essa Solicitação
8051832118;Muro com Danos
8051832118;Deslizamentos de Barreiras
8051827020;Não há Ocorrência para essa Solicitação
8051821120;Não há Ocorrência para essa Solicitação
8051818918;Não há Ocorrência para essa Solicitação
8051818020;Não há Ocorrência para essa Solicitação
8051816618;Deslizamentos de Barreiras
8051816618;Não há Ocorrência para essa Solicitação
8051814517;Não há Ocorrência para essa Solicitação
8051814318;Imoveis com Danos/Risco
8051814318;Muro com Danos
8051812018;Não há Ocorrência para essa Solicitação
8051810818;Muro com Danos
8051810818;Postes em Risco
8051810020;Não há Ocorrência para essa Solicitação
8051809316;Imoveis com Danos/Risco
8051808318;Muro com Danos
8051808318;Postes em Risco
8051806018;Deslizamentos de Barreiras
8051804818;Não há Ocorrência para essa Solicitação
8051804020;Não há Ocorrência para essa Solicitação
8051801918;Desabamento Parcial Imoveis
8051801020;Não há Ocorrência para essa Solicitação
8051799418;Deslizamentos de Barreiras
8051797118;Deslizamentos de Barreiras
8051795918;Arvores em Risco
8051794420;Imoveis com Danos/Risco
8051792018;Imoveis Alagados
8051791520;Imoveis com Danos/Risco
8051789918;Arvores em Risco
8051788417;Não há Ocorrência para essa Solicitação
8051787618;Não há Ocorrência para essa Solicitação
8051785318;Não há Ocorrência para essa Solicitação
8051783018;Não há Ocorrência para essa Solicitação
8051781818;Imoveis Alagados
8051781818;Imoveis com Danos/Risco
8051777018;Não há Ocorrência para essa Solicitação
8051775818;Deslizamentos de Barreiras
8051772918;Não há Ocorrência para essa Solicitação
8051770618;Desabamento Parcial Imoveis
8051768118;Não há Ocorrência para essa Solicitação
8051767720;Não há Ocorrência para essa Solicitação
8051766918;Não há Ocorrência para essa Solicitação
8051764820;Não há Ocorrência para essa Solicitação
8051764618;Deslizamentos de Barreiras
8051760220;Não há Ocorrência para essa Solicitação
8051760018;Não há Ocorrência para essa Solicitação
8051758618;Imoveis com Danos/Risco
8051755718;Deslizamentos de Barreiras
8051753418;Não há Ocorrência para essa Solicitação
8051751118;Não há Ocorrência para essa Solicitação
8051749718;Imoveis com Danos/Risco
8051749718;Deslizamentos de Barreiras
8051749519;Não há Ocorrência para essa Solicitação
8051747418;Deslizamentos de Barreiras
8051745118;Deslizamentos de Barreiras
8051743918;Não há Ocorrência para essa Solicitação
8051742616;Invasao de Terreno de Auxilio Moradia
8051741618;Deslizamentos de Barreiras
8051739118;Imoveis com Danos/Risco
8051739118;Deslizamentos de Barreiras
8051736218;Deslizamentos de Barreiras
8051736218;Não há Ocorrência para essa Solicitação
8051734018;Imoveis com Danos/Risco
8051732920;Não há Ocorrência para essa Solicitação
8051732718;Deslizamentos de Barreiras
8051731416;Não há Ocorrência para essa Solicitação
8051730418;Desabamento Parcial Imoveis
8051728018;Imoveis com Danos/Risco
8051726920;Não há Ocorrência para essa Solicitação
8051726718;Muro com Danos
8051723818;Não há Ocorrência para essa Solicitação
8051721518;Não há Ocorrência para essa Solicitação
8051719018;Não há Ocorrência para essa Solicitação
8051717818;Deslizamentos de Barreiras
8051717818;Não há Ocorrência para essa Solicitação
8051714918;Alagamentos
8051712618;Não há Ocorrência para essa Solicitação
8051712419;Não há Ocorrência para essa Solicitação
8051710716;Imoveis com Danos/Risco
8051710318;Não há Ocorrência para essa Solicitação
8051709319;Não há Ocorrência para essa Solicitação
8051708918;Deslizamentos de Barreiras
8051706618;Não há Ocorrência para essa Solicitação
8051704318;Imoveis com Danos/Risco
8051702018;Deslizamentos de Barreiras
8051700818;Não há Ocorrência para essa Solicitação
8051694818;Deslizamentos de Barreiras
8051690218;Invasao de Terreno de Auxilio Moradia
8051687118;Deslizamentos de Barreiras
8051683618;Não há Ocorrência para essa Solicitação
8051680016;Imoveis com Danos/Risco
8051680016;Não há Ocorrência para essa Solicitação
8051675318;Não há Ocorrência para essa Solicitação
8051660817;Não há Ocorrência para essa Solicitação
8051658320;Não há Ocorrência para essa Solicitação
8051658019;Não há Ocorrência para essa Solicitação
8051653117;Deslizamentos de Barreiras
8051650220;Não há Ocorrência para essa Solicitação
8051650217;Não há Ocorrência para essa Solicitação
8051645920;Imoveis com Danos/Risco
8051617318;Não há Ocorrência para essa Solicitação
8051615217;Não há Ocorrência para essa Solicitação
8051609217;Não há Ocorrência para essa Solicitação
8051607818;Deslizamentos de Barreiras
8051606516;Deslizamentos de Barreiras
8051602820;Não há Ocorrência para essa Solicitação
8051597019;Não há Ocorrência para essa Solicitação
8051596820;Não há Ocorrência para essa Solicitação
8051585620;Não há Ocorrência para essa Solicitação
8051585617;Imoveis com Danos/Risco
8051581017;Não há Ocorrência para essa Solicitação
8051580420;Arvores em Risco
8051580420;Deslizamentos de Barreiras
8051577320;Não há Ocorrência para essa Solicitação
8051575020;Não há Ocorrência para essa Solicitação
8051571520;Imoveis com Danos/Risco
8051570718;Deslizamentos de Barreiras
8051568616;Imoveis com Danos/Risco
8051566120;Não há Ocorrência para essa Solicitação
8051559520;Não há Ocorrência para essa Solicitação
8051556620;Não há Ocorrência para essa Solicitação
8051555017;Imoveis com Danos/Risco
8051541920;Não há Ocorrência para essa Solicitação
8051534919;Muro com Danos
8051530720;Não há Ocorrência para essa Solicitação
8051525320;Não há Ocorrência para essa Solicitação
8051522019;Imoveis com Danos/Risco
8051519118;Não há Ocorrência para essa Solicitação
8051516420;Imoveis com Danos/Risco
8051515016;Não há Ocorrência para essa Solicitação
8051511416;Deslizamentos de Barreiras
8051508120;Não há Ocorrência para essa Solicitação
8051505018;Deslizamentos de Barreiras
8051504617;Não há Ocorrência para essa Solicitação
8051503020;Não há Ocorrência para essa Solicitação
8051496320;Não há Ocorrência para essa Solicitação
8051483920;Não há Ocorrência para essa Solicitação
8051477917;Não há Ocorrência para essa Solicitação
8051469620;Muro com Danos
8051467320;Não há Ocorrência para essa Solicitação
8051461520;Deslizamentos de Barreiras
8051459020;Não há Ocorrência para essa Solicitação
8051454920;Não há Ocorrência para essa Solicitação
8051453018;Imoveis com Danos/Risco
8051452620;Não há Ocorrência para essa Solicitação
8051447018;Não há Ocorrência para essa Solicitação
8051441420;Muro com Danos
8051433819;Não há Ocorrência para essa Solicitação
8051421320;Não há Ocorrência para essa Solicitação
8051419920;Não há Ocorrência para essa Solicitação
8051416116;Não há Ocorrência para essa Solicitação
8051402920;Não há Ocorrência para essa Solicitação
8051400620;Não há Ocorrência para essa Solicitação
8051383420;Não há Ocorrência para essa Solicitação
8051374517;Não há Ocorrência para essa Solicitação
8051371620;Imoveis com Danos/Risco
8051371617;Não há Ocorrência para essa Solicitação
8051369120;Não há Ocorrência para essa Solicitação
8051359219;Imoveis com Danos/Risco
8051354218;Arvores em Risco
8051345716;Imoveis com Danos/Risco
8051343416;Arvores em Risco
8051340118;Não há Ocorrência para essa Solicitação
8051333518;Imoveis com Danos/Risco
8051333518;Arvores em Risco
8051328118;Não há Ocorrência para essa Solicitação
8051318820;Imoveis com Danos/Risco
8051310720;Não há Ocorrência para essa Solicitação
8051309718;Deslizamentos de Barreiras
8051305320;Imoveis com Danos/Risco
8051304319;Não há Ocorrência para essa Solicitação
8051295419;Não há Ocorrência para essa Solicitação
8051286917;Imoveis com Danos/Risco
8051256217;Deslizamentos de Barreiras
8051253118;Imoveis com Danos/Risco
8051250616;Não há Ocorrência para essa Solicitação
8051234718;Não há Ocorrência para essa Solicitação
8051216020;Não há Ocorrência para essa Solicitação
8051214618;Não há Ocorrência para essa Solicitação
8051213819;Deslizamentos de Barreiras
8051213819;Imoveis com Danos/Risco
8051206520;Não há Ocorrência para essa Solicitação
8051193918;Não há Ocorrência para essa Solicitação
8051193216;Muro com Danos
8051191820;Não há Ocorrência para essa Solicitação
8051189320;Imoveis com Danos/Risco
8051173020;Arvores em Risco
8051164719;Não há Ocorrência para essa Solicitação
8051160716;Arvores em Risco
8051160716;Imoveis com Danos/Risco
8051157420;Não há Ocorrência para essa Solicitação
8051154520;Não há Ocorrência para essa Solicitação
8051146220;Não há Ocorrência para essa Solicitação
8051145617;Não há Ocorrência para essa Solicitação
8051142720;Imoveis com Danos/Risco
8051139418;Deslizamentos de Barreiras
8051139418;Não há Ocorrência para essa Solicitação
8051135020;Não há Ocorrência para essa Solicitação
8051133618;Não há Ocorrência para essa Solicitação
8051129918;Não há Ocorrência para essa Solicitação
8051125318;Imoveis com Danos/Risco
8051125318;Alagamentos
8051124917;Tombamento de Arvores
8051124917;Arvores em Risco
8051120118;Não há Ocorrência para essa Solicitação
8051112020;Imoveis com Danos/Risco
8051109020;Deslizamentos de Barreiras
8051106020;Não há Ocorrência para essa Solicitação
8051104817;Arvores em Risco
8051102716;Não há Ocorrência para essa Solicitação
8051101920;Não há Ocorrência para essa Solicitação
8051097120;Não há Ocorrência para essa Solicitação
8051093418;Muro com Danos
8051088220;Não há Ocorrência para essa Solicitação
8051085320;Não há Ocorrência para essa Solicitação
8051080120;Não há Ocorrência para essa Solicitação
8051078518;Deslizamentos de Barreiras
8051078518;Não há Ocorrência para essa Solicitação
8051069618;Não há Ocorrência para essa Solicitação
8051067520;Não há Ocorrência para essa Solicitação
8051064418;Não há Ocorrência para essa Solicitação
8051061720;Não há Ocorrência para essa Solicitação
8051057818;Muro com Danos
8051057020;Não há Ocorrência para essa Solicitação
8051055717;Não há Ocorrência para essa Solicitação
8051054020;Deslizamentos de Barreiras
8051053417;Não há Ocorrência para essa Solicitação
8051053218;Alagamentos
8051053218;Imoveis com Danos/Risco
8051050318;Não há Ocorrência para essa Solicitação
8051046618;Postes em Risco
8051044318;Não há Ocorrência para essa Solicitação
8051039120;Deslizamentos de Barreiras
8051036018;Imoveis com Danos/Risco
8051035620;Não há Ocorrência para essa Solicitação
8051031020;Não há Ocorrência para essa Solicitação
8051029620;Deslizamentos de Barreiras
8051017820;Não há Ocorrência para essa Solicitação
8051015520;Deslizamentos de Barreiras
8051012617;Imoveis com Danos/Risco
8051010320;Não há Ocorrência para essa Solicitação
8051010118;Não há Ocorrência para essa Solicitação
8051007220;Não há Ocorrência para essa Solicitação
8051005020;Não há Ocorrência para essa Solicitação
8051002719;Desabamento Parcial Imoveis
8050995418;Imoveis com Danos/Risco
8050993019;Não há Ocorrência para essa Solicitação
8050990420;Imoveis com Danos/Risco
8050988619;Não há Ocorrência para essa Solicitação
8050987320;Não há Ocorrência para essa Solicitação
8050986717;Muro com Danos
8050986717;Deslizamentos de Barreiras
8050983419;Não há Ocorrência para essa Solicitação
8050977618;Imoveis com Danos/Risco
8050974917;Deslizamentos de Barreiras
8050971020;Não há Ocorrência para essa Solicitação
8050970317;Não há Ocorrência para essa Solicitação
8050969520;Não há Ocorrência para essa Solicitação
8050952318;Imoveis com Danos/Risco
8050941317;Não há Ocorrência para essa Solicitação
8050937620;Deslizamentos de Barreiras
8050934720;Não há Ocorrência para essa Solicitação
8050930117;Não há Ocorrência para essa Solicitação
8050925817;Arvores em Risco
8050925419;Não há Ocorrência para essa Solicitação
8050922917;Não há Ocorrência para essa Solicitação
8050921018;Não há Ocorrência para essa Solicitação
8050916920;Não há Ocorrência para essa Solicitação
8050914219;Não há Ocorrência para essa Solicitação
8050913116;Deslizamentos de Barreiras
8050912320;Não há Ocorrência para essa Solicitação
8050910719;Não há Ocorrência para essa Solicitação
8050905319;Não há Ocorrência para essa Solicitação
8050904017;Deslizamentos de Barreiras
8050902419;Não há Ocorrência para essa Solicitação
8050898216;Não há Ocorrência para essa Solicitação
8050897019;Não há Ocorrência para essa Solicitação
8050890619;Não há Ocorrência para essa Solicitação
8050888517;Imoveis com Danos/Risco
8050880616;Deslizamentos de Barreiras
8050880616;Imoveis com Danos/Risco
8050876518;Imoveis com Danos/Risco
8050868417;Não há Ocorrência para essa Solicitação
8050864718;Não há Ocorrência para essa Solicitação
8050858920;Não há Ocorrência para essa Solicitação
8050856219;Não há Ocorrência para essa Solicitação
8050842318;Não há Ocorrência para essa Solicitação
8050839420;Não há Ocorrência para essa Solicitação
8050837120;Não há Ocorrência para essa Solicitação
8050829718;Não há Ocorrência para essa Solicitação
8050824717;Arvores em Risco
8050817719;Não há Ocorrência para essa Solicitação
8050814117;Não há Ocorrência para essa Solicitação
8050812016;Imoveis com Danos/Risco
8050806920;Arvores em Risco
8050799018;Não há Ocorrência para essa Solicitação
8050793420;Imoveis com Danos/Risco
8050784517;Não há Ocorrência para essa Solicitação
8050760917;Arvores em Risco
8050754718;Deslizamentos de Barreiras
8050749517;Não há Ocorrência para essa Solicitação
8050747919;Não há Ocorrência para essa Solicitação
8050739818;Não há Ocorrência para essa Solicitação
8050739619;Imoveis com Danos/Risco
8050737717;Não há Ocorrência para essa Solicitação
8050733120;Não há Ocorrência para essa Solicitação
8050725920;Arvores em Risco
8050725920;Imoveis com Danos/Risco
8050725519;Imoveis com Danos/Risco
8050718919;Não há Ocorrência para essa Solicitação
8050715317;Imoveis com Danos/Risco
8050713918;Não há Ocorrência para essa Solicitação
8050711016;Não há Ocorrência para essa Solicitação
8050710018;Não há Ocorrência para essa Solicitação
8050709317;Imoveis com Danos/Risco
8050709317;Arvores em Risco
8050706417;Deslizamentos de Barreiras
8050704117;Deslizamentos de Barreiras
8050703520;Imoveis com Danos/Risco
8050700418;Não há Ocorrência para essa Solicitação
8050692118;Não há Ocorrência para essa Solicitação
8050692118;Deslizamentos de Barreiras
8050685720;Não há Ocorrência para essa Solicitação
8050685720;Imoveis com Danos/Risco
8050684918;Não há Ocorrência para essa Solicitação
8050683616;Muro com Danos
8050681117;Não há Ocorrência para essa Solicitação
8050678020;Desabamento Parcial Imoveis
8050676820;Não há Ocorrência para essa Solicitação
8050674520;Não há Ocorrência para essa Solicitação
8050669117;Não há Ocorrência para essa Solicitação
8050664017;Imoveis com Danos/Risco
8050645119;Deslizamentos de Barreiras
8050645119;Arvores em Risco
8050644718;Não há Ocorrência para essa Solicitação
8050627916;Não há Ocorrência para essa Solicitação
8050613418;Não há Ocorrência para essa Solicitação
8050601820;Imoveis com Danos/Risco
8050591416;Invasao de Terreno de Auxilio Moradia
8050590620;Não há Ocorrência para essa Solicitação
8050587520;Não há Ocorrência para essa Solicitação
8050587119;Imoveis com Danos/Risco
8050584617;Deslizamentos de Barreiras
8050583818;Imoveis com Danos/Risco
8050580017;Deslizamentos de Barreiras
8050576019;Não há Ocorrência para essa Solicitação
8050576019;Deslizamentos de Barreiras
8050574020;Não há Ocorrência para essa Solicitação
8050570520;Imoveis com Danos/Risco
8050567420;Arvores em Risco
8050567420;Muro com Danos
8050560020;Não há Ocorrência para essa Solicitação
8050560017;Não há Ocorrência para essa Solicitação
8050542120;Não há Ocorrência para essa Solicitação
8050540917;Não há Ocorrência para essa Solicitação
8050533220;Não há Ocorrência para essa Solicitação
8050528920;Não há Ocorrência para essa Solicitação
8050526617;Imoveis com Danos/Risco
8050518320;Não há Ocorrência para essa Solicitação
8050516020;Arvores em Risco
8050516020;Não há Ocorrência para essa Solicitação
8050514817;Não há Ocorrência para essa Solicitação
8050510217;Não há Ocorrência para essa Solicitação
8050503620;Muro com Danos
8050502619;Arvores em Risco
8050501317;Não há Ocorrência para essa Solicitação
8050494518;Não há Ocorrência para essa Solicitação
8050488717;Imoveis com Danos/Risco
8050487020;Não há Ocorrência para essa Solicitação
8050477520;Arvores em Risco
8050477520;Imoveis com Danos/Risco
8050472320;Não há Ocorrência para essa Solicitação
8050471518;Imoveis com Danos/Risco
8050471319;Não há Ocorrência para essa Solicitação
8050470020;Imoveis com Danos/Risco
8050470020;Muro com Danos
8050469416;Não há Ocorrência para essa Solicitação
8050464216;Não há Ocorrência para essa Solicitação
8050463420;Imoveis com Danos/Risco
8050461018;Imoveis com Danos/Risco
8050455120;Imoveis com Danos/Risco
8050454517;Não há Ocorrência para essa Solicitação
8050448318;Não há Ocorrência para essa Solicitação
8050447917;Não há Ocorrência para essa Solicitação
8050441020;Imoveis com Danos/Risco
8050440218;Não há Ocorrência para essa Solicitação
8050439620;Arvores em Risco
8050436319;Não há Ocorrência para essa Solicitação
8050435020;Imoveis com Danos/Risco
8050434218;Arvores em Risco
8050431318;Não há Ocorrência para essa Solicitação
8050430920;Não há Ocorrência para essa Solicitação
8050427820;Imoveis com Danos/Risco
8050419517;Não há Ocorrência para essa Solicitação
8050414317;Não há Ocorrência para essa Solicitação
8050410817;Não há Ocorrência para essa Solicitação
8050407717;Não há Ocorrência para essa Solicitação
8050401917;Não há Ocorrência para essa Solicitação
8050399417;Não há Ocorrência para essa Solicitação
8050394217;Não há Ocorrência para essa Solicitação
8050389920;Não há Ocorrência para essa Solicitação
8050381820;Não há Ocorrência para essa Solicitação
8050380316;Muro com Danos
8050378720;Não há Ocorrência para essa Solicitação
8050378717;Não há Ocorrência para essa Solicitação
8050376420;Não há Ocorrência para essa Solicitação
8050375817;Deslizamentos de Barreiras
8050366920;Não há Ocorrência para essa Solicitação
8050366016;Não há Ocorrência para essa Solicitação
8050365018;Não há Ocorrência para essa Solicitação
8050357818;Muro com Danos
8050343718;Não há Ocorrência para essa Solicitação
8050342220;Não há Ocorrência para essa Solicitação
8050342217;Imoveis com Danos/Risco
8050340818;Não há Ocorrência para essa Solicitação
8050338318;Não há Ocorrência para essa Solicitação
8050334818;Não há Ocorrência para essa Solicitação
8050331918;Não há Ocorrência para essa Solicitação
8050329418;Não há Ocorrência para essa Solicitação
8050325918;Não há Ocorrência para essa Solicitação
8050323817;Deslizamentos de Barreiras
8050319918;Não há Ocorrência para essa Solicitação
8050317820;Não há Ocorrência para essa Solicitação
8050317618;Não há Ocorrência para essa Solicitação
8050311818;Não há Ocorrência para essa Solicitação
8050309119;Alagamentos
8050307018;Muro com Danos
8050307018;Imoveis com Danos/Risco
8050304320;Não há Ocorrência para essa Solicitação
8050300618;Não há Ocorrência para essa Solicitação
8050298516;Invasao de Terreno de Auxilio Moradia
8050298320;Não há Ocorrência para essa Solicitação
8050296020;Não há Ocorrência para essa Solicitação
8050292520;Não há Ocorrência para essa Solicitação
8050289417;Muro com Danos
8050289417;Arvores em Risco
8050289218;Não há Ocorrência para essa Solicitação
8050284919;Não há Ocorrência para essa Solicitação
8050282619;Não há Ocorrência para essa Solicitação
8050282020;Não há Ocorrência para essa Solicitação
8050269320;Não há Ocorrência para essa Solicitação
8050266218;Deslizamentos de Barreiras
8050263716;Não há Ocorrência para essa Solicitação
8050261018;Não há Ocorrência para essa Solicitação
8050258018;Não há Ocorrência para essa Solicitação
8050249018;Deslizamentos de Barreiras
8050246320;Não há Ocorrência para essa Solicitação
8050245319;Não há Ocorrência para essa Solicitação
8050239720;Não há Ocorrência para essa Solicitação
8050239717;Muro com Danos
8050239717;Arvores em Risco
8050239717;Deslizamentos de Barreiras
8050237420;Deslizamentos de Barreiras
8050229120;Não há Ocorrência para essa Solicitação
8050217317;Arvores em Risco
8050217317;Imoveis com Danos/Risco
8050215216;Não há Ocorrência para essa Solicitação
8050205520;Imoveis com Danos/Risco
8050205318;Deslizamentos de Barreiras
8050202620;Não há Ocorrência para essa Solicitação
8050201619;Não há Ocorrência para essa Solicitação
8050198920;Imoveis com Danos/Risco
8050196418;Deslizamentos de Barreiras
8050193720;Não há Ocorrência para essa Solicitação
8050188317;Imoveis com Danos/Risco
8050184820;Não há Ocorrência para essa Solicitação
8050181920;Arvores em Risco
8050180217;Não há Ocorrência para essa Solicitação
8050179420;Não há Ocorrência para essa Solicitação
8050173620;Não há Ocorrência para essa Solicitação
8050169920;Não há Ocorrência para essa Solicitação
8050164720;Não há Ocorrência para essa Solicitação
8050160018;Não há Ocorrência para essa Solicitação
8050146920;Não há Ocorrência para essa Solicitação
8050134020;Não há Ocorrência para essa Solicitação
8050132820;Não há Ocorrência para essa Solicitação
8050124520;Arvores em Risco
8050122220;Não há Ocorrência para essa Solicitação
8050120020;Imoveis com Danos/Risco
8050117920;Imoveis com Danos/Risco
8050102819;Muro com Danos
8050095520;Muro com Danos
8050092620;Não há Ocorrência para essa Solicitação
8050085017;Tombamento de Arvores
8050085017;Arvores em Risco
8050079020;Não há Ocorrência para essa Solicitação
8050078019;Imoveis com Danos/Risco
8050075420;Não há Ocorrência para essa Solicitação
8050051618;Deslizamentos de Barreiras
8050044316;Não há Ocorrência para essa Solicitação
8050036917;Imoveis com Danos/Risco
8050036917;Muro com Danos
8050034219;Imoveis com Danos/Risco
8050029217;Postes em Risco
8050027020;Não há Ocorrência para essa Solicitação
8050021018;Não há Ocorrência para essa Solicitação
8050019720;Muro com Danos
8050011418;Não há Ocorrência para essa Solicitação
8050005219;Não há Ocorrência para essa Solicitação
8049988818;Não há Ocorrência para essa Solicitação
8049986319;Não há Ocorrência para essa Solicitação
8049983419;Arvores em Risco
8049980917;Arvores em Risco
8049978019;Não há Ocorrência para essa Solicitação
8049977618;Deslizamentos de Barreiras
8049975520;Não há Ocorrência para essa Solicitação
8049975318;Não há Ocorrência para essa Solicitação
